Disk,Drive,Directory,File,Type,Created by,Copied,
1,0,$,!BOOT,,,,
1,0,$,!MENU,,,,
1,0,$,BASE,,,,
1,0,$,Combat,,,,
1,0,$,GRIDDAT,,,,
1,0,$,GRIDMC,,,,
1,0,$,$.GRIDRUN,,,,
1,0,$,$.MazeKil,,,,
1,0,$,$.METEOR1,,,,
1,0,$,$.METEOR2,,,,
1,0,$,$.PHAN2,,,,
1,0,$,$.Phantom,,,,
1,0,$,$.PLAIN,,,,
1,0,$,$.POLE,,,,
1,0,$,$.PolPos2,,,,
1,0,$,$.REP,,,,
1,0,$,$.REPTON,,,,
1,0,$,$.REPTON2,,,,
1,0,$,$.REPTON3,,,,
1,0,$,$.REPTONB,,,,
1,0,$,$.SNOOK1,,,,
1,0,$,$.SNOOK2,,,,
1,0,$,$.SNOOKER,,,,
1,0,$,$.SPOOKY,,,,
1,0,$,$.SPOOKY3,,,,
1,0,$,$.Zalaga1,,,,
1,0,$,$.Zalaga2,,,,
1,2,$,$.ARENA,,,,
1,2,$,$.COMM2B,,,,
1,2,$,$.COMM2C,,,,
1,2,$,$.JETSET,,,,
1,2,$,$.JSW2,,,,
1,2,$,$.Karate,,,,
1,2,$,$.MAN,,,,
1,2,$,$.MANIC,,,,
1,2,$,$.MINER,,,,
1,2,$,$.QMANB2,,,,
1,2,$,$.QMANBRO,,,,
1,2,$,$.RepMain,,,,
1,2,$,$.REPTON1,,,,
1,2,$,$.REPTON2,,,,
1,2,$,$.REPTON3,,,,
1,2,$,$.REPTON4,,,,
1,2,$,$.REPTONA,,,,
1,2,$,$.REPTONB,,,,
1,2,$,$.S-HUNT2,,,,
1,2,$,$.SPYHUNT,,,,
1,2,$,$.TERPIC,,,,
1,2,$,$.Terror,,,,
1,2,$,$.TERROR1,,,,
1,2,$,$.TERROR2,,,,
1,2,$,$.TERROR3,,,,
1,2,$,$.TERROR4,,,,
2,0,$,$.!BOOT,,,,
2,0,$,$.!MENU,,,,
2,0,$,$.ARCADS2,,,,
2,0,$,$.Blaster,,,,
2,0,$,$.C-EGG,,,,
2,0,$,$.DEFEND,,,,
2,0,$,$.DEFEND2,,,,
2,0,$,$.DENIS1,,,,
2,0,$,$.Dennis2,,,,
2,0,$,$.DODGE,,,,
2,0,$,$.FASTPAC,,,,
2,0,$,$.FRAK2,,,,
2,0,$,$.GORILLA,,,,
2,0,$,$.HOPPER,,,,
2,0,$,$.HOPPER1,,,,
2,0,$,$.HUNCH1,,,,
2,0,$,$.HUNCHBA,,,,
2,0,$,$.JETPAC,,,,
2,0,$,$.KILLA,,,,
2,0,$,$.PAIN,,,,
2,0,$,$.PAINTER,,,,
2,0,$,$.PURPLE,,,,
2,0,$,$.RAID,,,,
2,0,$,$.ROCKET,,,,
2,2,$,$.!M,,,,
2,2,$,$.BANDIT,,,,
2,2,$,$.CUBERT,,,,
2,2,$,$.CYLON,,,,
2,2,$,$.DARTS,,,,
2,2,$,$.DEMOLAT,,,,
2,2,$,$.FRUIT1,,,,
2,2,$,$.FRUIT2,,,,
2,2,$,$.FRUIT3,,,,
2,2,$,$.Labyrin,,,,
2,2,$,$.MAZE,,,,
2,2,$,$.MAZE2,,,,
2,2,$,$.MAZE3,,,,
2,2,$,$.MONO,,,,
2,2,$,$.MONOPOL,,,,
2,2,$,$.QBERT,,,,
2,2,$,$.QC,,,,
2,2,$,$.VOLCANO,,,,
2,2,$,$.WIZADO2,,,,
2,2,$,$.WIZADOR,,,,
2,2,$,$.WIZARD,,,,
2,2,A,CYLON,,,,
3,0,$,$.!BOOT,,,,
3,0,$,$.Avia2,,,,
3,0,$,$.Aviator,,,,
3,0,$,$.Screen,,,,
3,0,$,$.SPITFIR,,,,
4,0,$,$.!BOOT,,,,
4,0,$,BEETHOV,bas,,y,
4,0,$,BELLS,bas,,y,
4,0,$,COLMIX,bas,,y,
4,0,$,CURVFIT,bas,,y,
4,0,$,DESIGN,bas,,y,
4,0,$,DETER,bas,,y,
4,0,$,DRAW,bas,,y,
4,0,$,F,bas,,y,
4,0,$,FACFILE,bas,,y,
4,0,$,FILE3,,,,
4,0,$,FILM,bas,,y,
4,0,$,FOURIER,bas,,y,
4,0,$,GIGFILE,bas,,y,
4,0,$,GRAPH,bas,,y,
4,0,$,KOCH,bas,,y,
4,0,$,PATT1,bas,,y,
4,0,$,PATT2,bas,,y,
4,0,$,PATT3,bas,,y,
4,0,$,PATT4,bas,,y,
4,0,$,PRIME,bas,,y,
4,0,$,PRIPATT,bas,,y,
4,0,$,PRIPT1,bas,,y,
4,0,$,QUCKREC,bas,,y,
4,0,$,QUCKSRT,bas,,y,
4,0,$,RNDWALK,bas,,y,
4,0,$,SIMULT,bas,,y,
4,0,$,STICK,bas,,y,
4,0,$,TRICALC,bas,,y,
4,0,$,TURTLE,bas,,y,
4,0,$,WORDF,bas,,y,
4,2,$,$.BEETHOV,,,,
4,2,$,$.BELLS,,,,
4,2,$,$.COLMIX,,,,
4,2,$,$.CURVFIT,,,,
4,2,$,$.DESIGN,,,,
4,2,$,$.DETER,,,,
4,2,$,$.DRAW,,,,
4,2,$,$.F,,,,
4,2,$,$.FACFILE,,,,
4,2,$,$.FILM,,,,
4,2,$,$.FOURIER,,,,
4,2,$,$.GIGFILE,,,,
4,2,$,$.GRAPH,,,,
4,2,$,$.KOCH,,,,
4,2,$,$.PATT1,,,,
4,2,$,$.PATT2,,,,
4,2,$,$.PATT3,,,,
4,2,$,$.PATT4,,,,
4,2,$,$.PRIME,,,,
4,2,$,$.PRIPATT,,,,
4,2,$,$.PRIPT1,,,,
4,2,$,$.QUCKREC,,,,
4,2,$,$.QUCKSRT,,,,
4,2,$,$.RNDWALK,,,,
4,2,$,$.SIMULT,,,,
4,2,$,$.STICK,,,,
4,2,$,$.TRICALC,,,,
4,2,$,$.TURTLE,,,,
4,2,$,$.WORDF,,,,
6,0,$,LEXIS,bas,,,
6,0,$,LEXISBAK,bas,,,
7,0,$,$.!BOOT,text,,,
7,0,$,$.BOOKS,data,,,
7,0,$,$.PRIN,bas,,,
7,0,$,$.README,text,,,
7,2,$,$.BOOKFIL,bas,,,
7,2,$,$.MULTPRC,bas,,,
7,2,$,$.NAMEORD,bas,,,
7,2,$,$.PRINT,bas,,,
7,2,$,$.RUFORD,bas,,,
7,2,$,$.VALTOT,bas,,,
8,0,$,$.!BOOT,,,,
8,0,$,$.!MENU,,,,
8,0,$,$.ARCADS2,,,,
8,0,$,$.Blaster,,,,
8,0,$,$.C-EGG,,,,
8,0,$,$.DENIS1,,,,
8,0,$,$.Dennis2,,,,
8,0,$,$.DODGE,,,,
8,0,$,$.FASTPAC,,,,
8,0,$,$.FRAK2,,,,
8,0,$,$.GORILLA,,,,
8,0,$,$.HOPPER,,,,
8,0,$,$.HOPPER1,,,,
8,0,$,$.HUNCH1,,,,
8,0,$,$.HUNCHBA,,,,
8,0,$,$.JETPAC,,,,
8,0,$,$.KILLA,,,,
8,0,$,$.PAIN,,,,
8,0,$,$.PAINTER,,,,
8,0,$,$.PURPLE,,,,
8,0,$,$.RAID,,,,
8,0,$,$.ROCKET,,,,
8,2,$,$.!M,,,,
8,2,$,$.BANDIT,,,,
8,2,$,$.CUBERT,,,,
8,2,$,$.CYLON,,,,
8,2,$,$.DEMOLAT,,,,
8,2,$,$.FRUIT1,,,,
8,2,$,$.FRUIT2,,,,
8,2,$,$.FRUIT3,,,,
8,2,$,$.Labyrin,,,,
8,2,$,$.MAZE,,,,
8,2,$,$.MAZE2,,,,
8,2,$,$.MAZE3,,,,
8,2,$,$.MONO,,,,
8,2,$,$.MONOPOL,,,,
8,2,$,$.QBERT,,,,
8,2,$,$.QC,,,,
8,2,$,$.VOLCANO,,,,
8,2,$,$.WIZADO2,,,,
8,2,$,$.WIZADOR,,,,
8,2,$,$.WIZARD,,,,
8,2,A,A.CYLON,,,,
9,0,$,$.!BOOT,,,,
9,0,$,$.C32/1,,,,
9,0,$,$.C32/2,,,,
9,0,$,$.CHESS,,,,
9,0,$,$.MENU,,,,
9,0,$,$.PASCAL,,,,
9,0,$,$.ROMPASC,,,,
9,0,$,$.X,,,,
9,0,P,P.ERRMSG,,,,
9,2,$,$.CNTNUM2,pascal,,,
9,2,$,$.CONTNUM,pascal,,,
9,2,$,$.DETER,pascal,,,
9,2,$,$.NIM,pascal,,,
9,2,$,$.PASCAL,,,,
9,2,$,$.PATTERN,pascal,,,
9,2,$,$.PERSIAN,pascal,,,
9,2,$,$.ROMPASC,,,,
9,2,$,$.SORT,pascal,,,
9,2,O,O.deter,,,,
9,2,O,O.PATTERN,,,,
9,2,P,P.ERRMSG,,,,
9,2,P,P.PASCAL1,,,,
9,2,P,P.PASCAL2,,,,
9,2,P,P.PASCAL3,,,,
9,2,P,P.PASCAL4,,,,
9,2,P,P.PASCAL5,,,,
9,2,P,P.PASCAL6,,,,
9,2,P,P.RTIME1,,,,
9,2,P,P.RTIME2,,,,
9,2,P,P.RTIMES,,,,
12,0,*,*.AMENGSP,data,,,
12,0,*,*.AMENGTR,data,,,
12,0,*,*.AMENGVO,data,,,
12,0,*,*.CH/SURF,data,,,
12,0,*,*.COOKTEX,data,,,
12,0,*,*.EATDOOR,data,,,
12,0,*,*.GDNCLSS,data,,,
12,0,*,*.IR/REG,data,,,
12,0,*,*.JOBWORK,data,,,
12,0,*,*.LSILENT,data,,,
12,0,*,*.MKSTAT,data,,,
12,0,*,*.MOODNOI,data,,,
12,0,*,*.MUCHMNY,data,,,
12,0,*,*.SEETEN2,data,,,
12,0,*,*.SMEDIAL,data,,,
12,0,$,FILECOR,bas,,,
12,0,$,FILEINP,bas,,,
12,0,$,FRVB,bas,,,
12,0,$,FRVBAK,bas,,,
12,0,$,ITVBS,bas,,,
12,0,$,RODCOLS,bas,,,
12,0,$,WORKING,bas,,,
12,2,$,8QUEENS,bas,,,
12,2,$,ALPHA,bas,,,
12,2,$,ALPHATY,bas,,,
12,2,$,C,bas,,,
12,2,$,CLONE,bas,,,
12,2,$,DESIGN,bas,,,
12,2,$,DESIGNP,bas,,,
12,2,$,F80,bas,,,
12,2,$,FRCTION,bas,,,
12,2,$,KEYB,bas,,,
12,2,$,LEXINP,bas,,,
12,2,$,LEXIS,bas,,,
12,2,$,LOOK,bas,,,
12,2,$,MATMULT,bas,,,
12,2,$,MEMLOOK,bas,,,
12,2,$,MSEARCH,bas,,,
12,2,$,READIDS,bas,,,
12,2,$,SIMULT,bas,,,
12,2,$,WORDF,bas,,,
12,2,$,WORKING,bas,,,
12,2,D,DCBELL,bas,,,
12,2,D,TYPE,bas,,,
12,2,M,DETER,bas,,,
12,2,M,GRAPH,bas,,,
12,2,M,SIMULT,bas,,,
13,0,$,$.BVERIFY,,,,
13,0,$,$.FORM40,,,,
13,0,$,$.FORM80,,,,
13,2,$,$.BOOKFIL,"bas, bin",,,
13,2,$,$.DETER,"bas, bin",,,
13,2,$,$.FILE,data,,,
13,2,$,$.FILL,"bas, bin",,,
13,2,$,$.FILMACH,"bas, bin",,,
13,2,$,$.FORMAT,"bas, bin",,,
13,2,$,$.GRAPH,"bas, bin",,,
13,2,$,$.KOCH,"bas, bin",,,
13,2,$,$.SIMULT,"bas, bin",,,
14,0,$,$.!BOOT,,,,
14,0,$,$.!MENU,,,,
14,0,$,$.BASE,,,,
14,0,$,$.Combat,,,,
14,0,$,$.GRIDDAT,,,,
14,0,$,$.GRIDMC,,,,
14,0,$,$.GRIDRUN,,,,
14,0,$,$.MazeKil,,,,
14,0,$,$.METEOR1,,,,
14,0,$,$.METEOR2,,,,
14,0,$,$.PHAN2,,,,
14,0,$,$.Phantom,,,,
14,0,$,$.POLE,,,,
14,0,$,$.PolPos2,,,,
14,0,$,$.REP,,,,
14,0,$,$.REPTON,,,,
14,0,$,$.REPTON2,,,,
14,0,$,$.REPTON3,,,,
14,0,$,$.REPTONB,,,,
14,0,$,$.SNOOK1,,,,
14,0,$,$.SNOOK2,,,,
14,0,$,$.SNOOKER,,,,
14,0,$,$.SPOOKY,,,,
14,0,$,$.SPOOKY3,,,,
14,0,$,$.Zalaga1,,,,
14,0,$,$.Zalaga2,,,,
14,2,$,$.ARENA,,,,
14,2,$,$.COMM2B,,,,
14,2,$,$.COMM2C,,,,
14,2,$,$.JETSET,,,,
14,2,$,$.JSW2,,,,
14,2,$,$.Karate,,,,
14,2,$,$.MAN,,,,
14,2,$,$.MANIC,,,,
14,2,$,$.MINER,,,,
14,2,$,$.QMANB2,,,,
14,2,$,$.QMANBRO,,,,
14,2,$,$.RepMain,,,,
14,2,$,$.REPTON1,,,,
14,2,$,$.REPTON2,,,,
14,2,$,$.REPTON3,,,,
14,2,$,$.REPTON4,,,,
14,2,$,$.REPTONA,,,,
14,2,$,$.REPTONB,,,,
14,2,$,$.S-HUNT2,,,,
14,2,$,$.SPYHUNT,,,,
14,2,$,$.TERPIC,,,,
14,2,$,$.Terror,,,,
14,2,$,$.TERROR1,,,,
14,2,$,$.TERROR2,,,,
